Нижегородская область,Ардатовская,УИК №1,1150,1175,0,785,38,352,38,785,9,814,0,0,6,177,43,532,45,5,2,4
Нижегородская область,Ардатовская,УИК №2,1295,1310,0,900,58,352,58,900,9,949,0,0,3,220,57,642,8,11,4,4
Нижегородская область,Ардатовская,УИК №3,880,900,0,546,52,302,52,546,5,593,0,0,5,116,50,405,4,4,3,6
Нижегородская область,Ардатовская,УИК №4,1574,1580,0,1042,151,387,151,1042,16,1177,0,0,2,238,65,830,14,15,8,5
Нижегородская область,Ардатовская,УИК №5,1113,1140,0,686,52,402,52,686,11,727,0,0,7,152,54,492,6,8,5,3
Нижегородская область,Ардатовская,УИК №6,1541,1580,0,1027,95,458,95,1027,10,1112,0,0,11,236,87,740,20,9,5,4
Нижегородская область,Ардатовская,УИК №7,197,200,0,124,46,30,46,124,0,170,0,0,0,17,12,140,1,0,0,0
Нижегородская область,Ардатовская,УИК №8,289,285,0,222,25,38,25,222,3,244,0,0,2,25,27,184,1,3,0,2
Нижегородская область,Ардатовская,УИК №9,1292,1350,0,812,82,456,82,812,20,874,0,0,8,123,105,595,17,10,13,3
Нижегородская область,Ардатовская,УИК №10,1173,1165,0,716,80,369,80,716,9,787,0,0,3,90,85,583,6,5,9,6
Нижегородская область,Ардатовская,УИК №11,1608,1640,0,867,191,582,191,867,56,1002,0,0,7,93,65,823,5,5,3,1
Нижегородская область,Ардатовская,УИК №12,100,105,0,60,21,24,21,60,1,80,0,0,1,4,1,70,4,0,0,0
Нижегородская область,Ардатовская,УИК №13,65,60,0,46,7,7,7,46,1,52,0,0,0,2,5,44,1,0,0,0
Нижегородская область,Ардатовская,УИК №14,342,385,0,179,92,114,92,179,1,270,0,0,2,22,8,237,1,0,0,0
Нижегородская область,Ардатовская,УИК №15,476,490,0,342,70,78,70,342,2,410,0,0,1,53,28,317,3,6,0,2
Нижегородская область,Ардатовская,УИК №16,726,750,0,521,106,123,106,521,4,623,0,0,6,94,39,464,9,6,4,1
Нижегородская область,Ардатовская,УИК №17,631,645,0,358,175,112,175,358,2,531,0,0,0,34,34,458,2,0,1,2
Нижегородская область,Ардатовская,УИК №18,601,615,0,441,84,90,84,441,0,525,0,0,3,34,40,433,4,9,2,0
Нижегородская область,Ардатовская,УИК №19,420,450,0,208,169,73,169,208,1,376,0,0,3,11,9,350,0,3,0,0
Нижегородская область,Ардатовская,УИК №20,279,280,0,210,28,42,28,210,0,238,0,0,3,25,6,201,1,1,0,1
Нижегородская область,Ардатовская,УИК №21,394,405,0,307,46,52,46,307,0,353,0,0,0,22,14,312,3,2,0,0
Нижегородская область,Ардатовская,УИК №22,995,1030,0,703,99,228,99,703,8,794,0,0,8,98,60,610,5,7,3,3
Нижегородская область,Ардатовская,УИК №23,460,460,0,338,56,66,56,338,2,392,0,0,0,21,18,351,0,2,0,0
Нижегородская область,Ардатовская,УИК №24,260,265,0,190,22,53,22,190,1,211,0,0,0,20,21,168,0,2,0,0
Нижегородская область,Ардатовская,УИК №25,496,510,0,329,98,83,98,329,3,424,0,0,1,23,8,381,2,2,7,0
Нижегородская область,Ардатовская,УИК №26,294,295,0,213,63,19,63,213,1,275,0,0,1,32,16,216,1,4,2,3
Нижегородская область,Ардатовская,УИК №27,763,790,0,463,190,137,190,463,2,651,0,0,4,41,29,564,3,6,4,0
Нижегородская область,Ардатовская,УИК №28,235,240,0,186,23,31,23,186,0,209,0,0,1,30,8,170,0,0,0,0
Нижегородская область,Ардатовская,УИК №29,322,350,0,230,45,75,45,230,1,274,0,0,2,28,13,227,0,3,1,0
Нижегородская область,Ардатовская,УИК №30,388,410,0,160,127,123,127,160,1,286,0,0,2,33,17,230,2,1,0,1
